type_tache,complexite,type_livrable,niveau_expertise,temps_sans_copilot,copilot_utilise,temps_realisation_min,nb_iterations,score_pertinence,score_clarte,score_exactitude,score_exploitabilite,copilot_pertinent
Générer du DAX,Moyen,Exploratoire,Intermédiaire,59.9,0,59.9,1,3.2,3.2,3.5,3.6,0
Créer des rapports automatiquement,Élevé,Management,Débutant,43.3,0,43.3,2,3.3,3.3,4.2,2.5,0
Résumer les insights,Faible,Management,Débutant,27.5,1,16.9,1,4.3,4.9,3.8,4.2,1
Analyser les données rapidement,Élevé,Opérationnel,Expert,58.8,0,58.8,1,3.7,3.6,4.8,3.7,0
Générer du DAX,Moyen,Management,Intermédiaire,58.3,1,23.1,3,2.9,2.2,2.8,2.8,0
Résumer les insights,Élevé,Management,Intermédiaire,36.3,0,36.3,1,4.0,4.0,4.3,3.9,0
Créer des rapports automatiquement,Élevé,Exploratoire,Expert,49.1,1,42.9,1,3.2,3.4,4.2,4.5,1
Poser des questions en langage naturel,Faible,Management,Intermédiaire,32.6,1,25.4,1,5.0,5.0,3.8,4.5,1
Créer des rapports automatiquement,Faible,Exploratoire,Intermédiaire,21.8,0,21.8,2,2.6,4.3,3.9,3.4,0
Analyser les données rapidement,Moyen,Exploratoire,Intermédiaire,48.8,1,25.5,1,4.0,4.3,3.9,3.0,1
Générer du DAX,Faible,Opérationnel,Débutant,46.9,0,46.9,1,3.7,4.0,3.2,4.5,0
Analyser les données rapidement,Faible,Opérationnel,Débutant,29.7,0,29.7,1,3.0,3.3,2.7,4.5,0
Créer des rapports automatiquement,Moyen,Management,Débutant,35.3,1,25.2,1,3.6,4.4,3.6,3.4,1
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,36.0,1,23.4,5,4.6,4.0,3.3,3.2,0
Analyser les données rapidement,Moyen,Opérationnel,Débutant,41.8,0,41.8,1,3.3,3.7,3.9,4.0,0
Poser des questions en langage naturel,Faible,Management,Intermédiaire,27.7,1,17.4,1,3.6,3.4,4.5,5.0,1
Poser des questions en langage naturel,Élevé,Management,Débutant,35.6,0,35.6,1,3.1,3.3,1.9,3.8,0
Résumer les insights,Faible,Opérationnel,Expert,21.1,0,21.1,1,3.8,3.1,3.5,3.9,0
Générer du DAX,Faible,Exploratoire,Débutant,38.8,1,5.0,3,3.0,2.5,3.6,2.6,0
Poser des questions en langage naturel,Moyen,Opérationnel,Débutant,31.9,0,31.9,2,3.2,4.0,2.7,3.8,0
Poser des questions en langage naturel,Moyen,Opérationnel,Expert,40.1,1,34.5,1,4.2,4.9,3.8,4.1,1
Poser des questions en langage naturel,Faible,Management,Intermédiaire,18.4,0,18.4,1,3.9,4.0,3.5,3.1,0
Résumer les insights,Moyen,Opérationnel,Débutant,26.7,1,17.1,4,4.1,4.2,3.6,3.6,0
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,44.3,0,44.3,1,4.1,3.4,3.1,3.2,0
Analyser les données rapidement,Moyen,Management,Intermédiaire,41.0,1,22.3,2,4.2,4.2,3.2,3.3,1
Poser des questions en langage naturel,Faible,Opérationnel,Intermédiaire,28.5,1,19.8,3,4.6,4.0,3.2,5.0,1
Créer des rapports automatiquement,Moyen,Opérationnel,Expert,35.5,0,35.5,3,2.9,4.3,1.8,2.5,0
Générer du DAX,Faible,Opérationnel,Expert,33.1,1,19.8,3,2.6,4.2,3.7,3.8,1
Créer des rapports automatiquement,Faible,Opérationnel,Intermédiaire,24.6,1,19.3,1,3.9,4.5,3.3,4.1,1
Poser des questions en langage naturel,Moyen,Opérationnel,Débutant,31.8,1,20.2,1,4.5,4.0,3.6,4.5,1
Analyser les données rapidement,Moyen,Management,Débutant,28.5,1,13.8,1,3.7,4.6,3.9,3.8,1
Créer des rapports automatiquement,Faible,Management,Intermédiaire,36.6,0,36.6,1,3.4,3.6,3.6,3.2,0
Créer des rapports automatiquement,Élevé,Opérationnel,Intermédiaire,40.3,0,40.3,3,3.9,3.4,3.7,4.3,0
Générer du DAX,Faible,Exploratoire,Intermédiaire,66.8,1,23.0,4,3.5,2.9,3.2,2.8,0
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,31.2,1,18.0,4,3.8,4.1,4.0,4.3,0
Créer des rapports automatiquement,Moyen,Management,Débutant,22.8,1,15.2,4,3.7,5.0,4.3,3.7,0
Générer du DAX,Moyen,Exploratoire,Débutant,69.3,1,14.7,4,3.3,2.7,2.5,3.7,0
Résumer les insights,Élevé,Exploratoire,Intermédiaire,35.2,0,35.2,1,2.8,3.9,2.8,4.1,0
Poser des questions en langage naturel,Moyen,Exploratoire,Expert,39.9,1,30.6,1,3.6,4.5,3.7,3.6,1
Analyser les données rapidement,Faible,Opérationnel,Débutant,18.1,1,5.0,2,3.9,4.1,4.3,3.4,1
Résumer les insights,Faible,Exploratoire,Intermédiaire,21.8,1,11.8,1,3.7,3.8,4.2,3.7,1
Poser des questions en langage naturel,Faible,Exploratoire,Expert,21.9,1,16.3,1,4.2,3.8,4.3,4.1,1
Générer du DAX,Moyen,Opérationnel,Expert,37.3,0,37.3,1,4.0,3.2,3.5,2.6,0
Analyser les données rapidement,Moyen,Management,Débutant,28.7,0,28.7,1,3.6,3.6,4.1,4.8,0
Générer du DAX,Élevé,Opérationnel,Intermédiaire,75.6,1,26.5,4,3.7,2.8,3.2,2.8,0
Analyser les données rapidement,Moyen,Opérationnel,Expert,35.0,1,27.1,1,3.0,4.5,4.5,3.1,1
Résumer les insights,Moyen,Management,Débutant,22.6,1,11.3,2,4.1,3.8,3.1,4.4,1
Résumer les insights,Faible,Management,Expert,28.9,1,22.2,2,3.9,3.7,3.5,4.0,1
Poser des questions en langage naturel,Élevé,Management,Expert,39.8,0,39.8,1,3.7,3.9,3.7,3.8,0
Créer des rapports automatiquement,Faible,Exploratoire,Intermédiaire,36.5,1,25.1,2,4.2,3.7,3.1,3.8,1
Poser des questions en langage naturel,Faible,Management,Débutant,20.4,1,14.6,1,2.8,3.3,4.4,4.4,1
Poser des questions en langage naturel,Faible,Opérationnel,Intermédiaire,24.2,0,24.2,2,3.8,3.3,3.7,4.2,0
Créer des rapports automatiquement,Élevé,Opérationnel,Intermédiaire,59.4,1,44.9,2,3.7,4.6,4.0,4.5,1
Résumer les insights,Faible,Opérationnel,Intermédiaire,19.9,1,17.9,1,4.4,3.5,4.2,3.7,0
Créer des rapports automatiquement,Faible,Management,Expert,29.4,1,24.6,3,3.4,3.4,4.0,4.5,1
Poser des questions en langage naturel,Moyen,Management,Expert,28.8,0,28.8,2,3.9,3.7,3.7,2.9,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,64.9,1,23.0,4,3.0,3.7,1.4,3.8,0
Analyser les données rapidement,Moyen,Exploratoire,Débutant,24.3,1,11.0,1,3.2,4.0,2.6,4.1,0
Améliorer le design,Moyen,Opérationnel,Intermédiaire,22.0,0,31.766080784547363,1,3.3,4.6,3.6,3.7,0
Générer du DAX,Élevé,Opérationnel,Débutant,82.5,1,16.4,4,2.7,3.2,3.4,2.9,0
Créer des rapports automatiquement,Élevé,Exploratoire,Débutant,49.1,1,34.6,2,4.5,2.7,5.0,3.9,1
Créer des rapports automatiquement,Faible,Opérationnel,Intermédiaire,31.9,1,21.6,2,3.7,4.6,3.8,4.3,1
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,29.6,1,21.5,1,4.7,4.4,4.1,3.2,1
Générer du DAX,Élevé,Exploratoire,Intermédiaire,64.4,1,23.1,4,3.1,3.3,2.4,2.5,0
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,25.5,0,25.5,1,3.6,3.2,4.1,4.3,0
Poser des questions en langage naturel,Moyen,Exploratoire,Intermédiaire,26.8,0,26.8,1,2.8,2.8,4.0,4.7,0
Générer du DAX,Moyen,Exploratoire,Intermédiaire,71.4,0,71.4,1,3.4,3.9,3.4,3.0,0
Analyser les données rapidement,Faible,Opérationnel,Expert,18.2,1,14.6,1,4.5,3.6,3.8,4.3,1
Analyser les données rapidement,Moyen,Management,Débutant,31.3,1,14.1,1,3.7,4.1,4.2,4.1,1
Générer du DAX,Élevé,Exploratoire,Débutant,94.5,1,16.3,2,2.9,2.9,3.6,3.1,0
Générer du DAX,Faible,Management,Intermédiaire,63.0,1,23.9,3,3.0,3.5,3.8,4.0,1
Générer du DAX,Faible,Opérationnel,Intermédiaire,51.8,0,51.8,1,3.1,4.4,4.4,3.2,0
Générer du DAX,Élevé,Opérationnel,Débutant,95.9,0,95.9,2,2.9,3.2,3.0,3.4,0
Poser des questions en langage naturel,Faible,Exploratoire,Débutant,29.8,1,18.6,1,4.2,4.7,3.2,4.8,1
Poser des questions en langage naturel,Faible,Management,Expert,26.3,0,26.3,1,3.8,3.1,3.4,4.3,0
Analyser les données rapidement,Moyen,Exploratoire,Expert,37.2,0,37.2,1,3.3,4.2,3.5,4.7,0
Créer des rapports automatiquement,Moyen,Opérationnel,Expert,38.1,1,31.1,1,3.6,4.0,4.0,4.4,1
Analyser les données rapidement,Moyen,Management,Intermédiaire,47.5,1,24.3,1,4.0,4.6,3.7,4.1,1
Créer des rapports automatiquement,Faible,Exploratoire,Intermédiaire,27.5,0,27.5,1,2.1,3.7,3.6,3.1,0
Analyser les données rapidement,Moyen,Management,Débutant,33.8,1,12.1,1,3.8,3.8,3.7,3.8,1
Poser des questions en langage naturel,Élevé,Exploratoire,Intermédiaire,43.7,0,43.7,1,4.6,3.1,3.3,3.4,0
Analyser les données rapidement,Moyen,Management,Expert,48.9,1,35.7,1,3.7,4.3,3.0,4.1,1
Créer des rapports automatiquement,Faible,Exploratoire,Expert,27.9,0,27.9,1,2.5,4.6,2.7,3.5,0
Analyser les données rapidement,Moyen,Management,Intermédiaire,32.1,1,11.8,1,4.5,3.8,5.0,4.3,1
Créer des rapports automatiquement,Élevé,Management,Intermédiaire,43.5,1,32.9,3,3.7,4.2,3.2,4.0,1
Générer du DAX,Faible,Opérationnel,Débutant,62.2,0,62.2,2,3.8,4.3,2.6,3.2,0
Créer des rapports automatiquement,Moyen,Exploratoire,Intermédiaire,30.3,1,22.6,1,4.5,4.1,4.1,4.8,1
Analyser les données rapidement,Faible,Opérationnel,Expert,22.3,1,18.7,1,4.1,4.0,4.9,4.2,1
Créer des rapports automatiquement,Faible,Management,Expert,20.2,0,20.2,2,3.3,3.7,2.6,3.9,0
Analyser les données rapidement,Moyen,Exploratoire,Intermédiaire,53.0,0,53.0,1,3.8,3.5,3.7,3.1,0
Analyser les données rapidement,Élevé,Exploratoire,Intermédiaire,50.5,1,26.9,2,3.2,4.8,4.9,3.6,1
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,36.4,1,25.4,1,4.1,4.9,5.0,5.0,1
Générer du DAX,Élevé,Opérationnel,Expert,109.4,1,76.8,3,3.7,3.6,1.4,3.6,0
Créer des rapports automatiquement,Faible,Management,Débutant,31.1,1,18.0,1,4.9,4.7,4.2,3.9,1
Résumer les insights,Faible,Management,Expert,20.8,1,18.6,1,3.4,2.7,3.9,4.9,1
Poser des questions en langage naturel,Moyen,Exploratoire,Débutant,23.0,1,14.8,1,4.1,3.6,3.4,4.2,1
Analyser les données rapidement,Faible,Exploratoire,Intermédiaire,30.4,1,15.4,1,2.8,4.5,4.3,3.9,1
Créer des rapports automatiquement,Moyen,Exploratoire,Intermédiaire,22.5,1,15.7,1,4.3,3.4,5.0,4.0,1
Analyser les données rapidement,Faible,Opérationnel,Débutant,34.5,0,34.5,1,4.1,3.1,3.4,3.7,0
Créer des rapports automatiquement,Moyen,Management,Débutant,40.5,1,24.5,2,3.8,5.0,5.0,3.5,1
Générer du DAX,Faible,Management,Expert,40.2,1,27.3,3,2.8,3.1,2.5,3.3,0
Analyser les données rapidement,Élevé,Exploratoire,Expert,76.5,0,76.5,1,3.5,3.6,3.0,3.5,0
Poser des questions en langage naturel,Faible,Management,Expert,28.9,1,24.9,1,4.5,3.8,5.0,4.5,1
Nettoyer les données,Moyen,Exploratoire,Intermédiaire,55.8,1,52.86408391122907,3,3.8,4.0,4.2,3.7,1
Résumer les insights,Moyen,Opérationnel,Intermédiaire,21.9,1,15.1,3,4.0,4.3,3.3,4.2,1
Résumer les insights,Moyen,Opérationnel,Débutant,32.1,1,24.2,1,4.3,4.2,4.1,4.9,1
Analyser les données rapidement,Moyen,Exploratoire,Intermédiaire,43.2,1,24.6,1,3.5,3.8,4.4,4.3,1
Créer des rapports automatiquement,Faible,Opérationnel,Débutant,38.3,1,24.9,1,4.6,4.0,4.6,4.0,1
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,36.1,0,36.1,1,3.4,3.9,3.1,3.9,0
Générer du DAX,Moyen,Opérationnel,Débutant,39.8,0,39.8,2,2.8,4.0,3.8,2.9,0
Résumer les insights,Moyen,Management,Débutant,30.0,1,20.0,1,2.9,4.5,3.6,4.0,1
Générer du DAX,Faible,Opérationnel,Débutant,40.3,1,9.7,2,2.7,2.8,3.7,4.1,0
Résumer les insights,Faible,Opérationnel,Débutant,20.3,0,20.3,2,3.7,4.2,3.6,3.8,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,79.7,0,79.7,1,2.3,3.8,3.5,4.2,0
Poser des questions en langage naturel,Moyen,Opérationnel,Débutant,34.3,1,19.9,1,3.8,3.8,3.1,4.0,1
Générer du DAX,Faible,Opérationnel,Intermédiaire,44.3,1,14.6,4,4.6,3.5,3.0,2.8,0
Générer du DAX,Faible,Opérationnel,Intermédiaire,45.7,1,20.4,4,2.8,2.5,2.0,2.4,0
Résumer les insights,Moyen,Management,Débutant,22.1,0,22.1,1,3.6,3.3,3.0,3.7,0
Poser des questions en langage naturel,Moyen,Opérationnel,Débutant,40.6,0,40.6,1,3.4,3.3,3.5,3.7,0
Générer du DAX,Moyen,Management,Débutant,70.6,1,14.6,4,3.5,3.3,2.7,2.4,0
Poser des questions en langage naturel,Moyen,Opérationnel,Débutant,25.5,1,18.2,1,4.5,4.3,3.5,4.9,1
Générer du DAX,Faible,Opérationnel,Intermédiaire,64.7,1,23.0,2,2.9,2.4,3.8,4.0,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,71.7,0,71.7,1,3.9,4.3,4.2,3.2,0
Poser des questions en langage naturel,Faible,Management,Intermédiaire,22.8,1,19.9,1,4.0,3.5,3.9,3.8,1
Résumer les insights,Moyen,Opérationnel,Débutant,18.4,0,18.4,1,3.4,4.4,3.7,3.4,0
Créer des rapports automatiquement,Élevé,Opérationnel,Expert,62.1,1,54.9,1,3.3,4.4,2.7,4.1,1
Générer du DAX,Moyen,Exploratoire,Intermédiaire,42.3,0,42.3,1,3.2,3.5,3.1,2.5,0
Générer du DAX,Faible,Management,Intermédiaire,57.0,1,21.3,5,4.2,3.9,2.8,2.6,0
Créer des rapports automatiquement,Moyen,Management,Débutant,37.1,1,28.3,2,3.8,4.2,3.7,4.3,1
Résumer les insights,Faible,Management,Expert,18.2,1,15.9,2,3.3,3.7,4.3,3.6,1
Poser des questions en langage naturel,Moyen,Management,Intermédiaire,38.4,1,26.4,2,4.0,4.0,3.8,3.9,1
Créer des rapports automatiquement,Faible,Opérationnel,Expert,22.3,1,18.1,3,4.3,4.5,4.2,3.7,1
Créer des rapports automatiquement,Faible,Opérationnel,Expert,28.2,0,28.2,1,3.5,3.2,3.8,4.0,0
Créer des rapports automatiquement,Faible,Management,Débutant,23.1,1,13.5,1,4.4,4.0,4.3,3.2,1
Générer du DAX,Élevé,Management,Intermédiaire,81.2,1,23.4,4,4.1,3.9,3.2,3.0,0
Analyser les données rapidement,Moyen,Exploratoire,Expert,49.5,0,49.5,3,3.1,4.0,2.3,3.5,0
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,30.0,0,30.0,1,3.3,3.7,3.9,3.1,0
Analyser les données rapidement,Faible,Opérationnel,Débutant,28.6,1,12.1,1,4.5,4.0,4.4,4.0,1
Poser des questions en langage naturel,Moyen,Management,Débutant,43.9,0,43.9,2,4.1,3.6,3.5,3.2,0
Créer des rapports automatiquement,Moyen,Management,Expert,31.8,1,28.7,3,4.0,4.4,3.3,3.2,0
Créer des rapports automatiquement,Moyen,Management,Débutant,41.5,1,30.8,1,4.1,4.0,3.4,3.3,1
Créer des rapports automatiquement,Faible,Management,Débutant,18.2,0,18.2,1,3.4,3.1,1.9,3.4,0
Générer du DAX,Moyen,Opérationnel,Intermédiaire,60.3,1,23.0,5,2.8,3.4,4.0,3.1,0
Analyser les données rapidement,Faible,Opérationnel,Intermédiaire,33.4,1,14.5,1,4.1,4.1,4.0,4.1,1
Analyser les données rapidement,Faible,Opérationnel,Intermédiaire,27.3,1,11.7,2,4.2,4.7,4.8,3.5,1
Analyser les données rapidement,Faible,Exploratoire,Débutant,39.1,1,14.0,1,3.9,4.1,4.3,4.0,1
Générer du DAX,Faible,Opérationnel,Expert,28.5,1,15.0,6,2.5,3.2,2.8,3.5,0
Résumer les insights,Faible,Exploratoire,Expert,12.3,1,11.3,1,4.1,4.2,3.9,4.3,0
Résumer les insights,Élevé,Exploratoire,Intermédiaire,30.1,1,19.4,2,4.9,4.0,4.3,3.4,1
Générer du DAX,Faible,Management,Intermédiaire,44.2,0,44.2,1,3.8,3.5,3.8,2.9,0
Analyser les données rapidement,Faible,Exploratoire,Intermédiaire,30.9,0,30.9,1,4.5,3.5,3.2,3.2,0
Poser des questions en langage naturel,Élevé,Exploratoire,Débutant,35.6,1,24.6,1,4.1,4.2,4.3,4.6,1
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,34.7,0,34.7,1,3.0,3.4,3.8,3.6,0
Poser des questions en langage naturel,Moyen,Management,Intermédiaire,34.1,0,34.1,2,3.4,4.3,3.2,3.3,0
Analyser les données rapidement,Moyen,Opérationnel,Débutant,8.8,1,5.0,2,4.2,4.3,4.6,3.5,1
Créer des rapports automatiquement,Moyen,Exploratoire,Débutant,29.0,1,20.7,2,3.1,3.8,4.6,3.5,1
Générer du DAX,Élevé,Opérationnel,Débutant,72.0,1,16.5,3,3.0,3.4,4.3,4.8,1
Poser des questions en langage naturel,Élevé,Exploratoire,Intermédiaire,38.9,1,31.0,2,4.5,3.9,4.3,3.7,1
Analyser les données rapidement,Faible,Exploratoire,Expert,35.9,1,28.0,3,4.0,4.4,3.2,3.8,1
Analyser les données rapidement,Moyen,Management,Expert,36.7,1,28.0,1,3.4,4.7,3.0,4.6,1
Poser des questions en langage naturel,Faible,Exploratoire,Débutant,19.1,1,9.6,2,3.9,3.8,4.0,4.3,1
Générer du DAX,Moyen,Opérationnel,Intermédiaire,53.8,0,53.8,1,3.2,2.8,2.6,3.5,0
Résumer les insights,Faible,Management,Intermédiaire,16.9,0,16.9,2,2.8,3.3,3.3,2.8,0
Analyser les données rapidement,Faible,Management,Expert,26.8,0,26.8,1,3.5,3.7,3.5,3.1,0
Générer du DAX,Moyen,Opérationnel,Débutant,77.8,1,17.6,2,2.7,3.8,3.3,3.5,0
Analyser les données rapidement,Moyen,Management,Intermédiaire,43.1,1,22.0,1,3.8,3.3,3.8,4.2,1
Générer du DAX,Faible,Management,Débutant,64.6,0,64.6,1,3.8,3.3,2.9,4.4,0
Générer du DAX,Moyen,Opérationnel,Expert,55.5,1,38.8,4,3.2,3.7,3.4,2.6,0
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,34.5,1,28.3,1,3.7,4.5,3.7,4.0,1
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,35.6,1,21.0,1,3.8,4.4,3.3,4.1,1
Générer du DAX,Faible,Opérationnel,Débutant,50.0,0,50.0,3,4.1,2.9,2.6,3.7,0
Analyser les données rapidement,Élevé,Exploratoire,Débutant,62.9,1,24.2,1,4.5,3.0,3.1,4.0,1
Analyser les données rapidement,Faible,Management,Intermédiaire,29.9,1,14.6,2,3.6,4.0,4.0,3.2,1
Générer du DAX,Faible,Opérationnel,Intermédiaire,39.2,1,12.8,5,4.2,2.5,2.0,4.1,0
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,33.9,1,25.6,1,4.0,5.0,3.2,4.7,1
Analyser les données rapidement,Faible,Management,Intermédiaire,39.2,1,20.7,2,3.0,4.0,3.8,4.7,1
Analyser les données rapidement,Élevé,Exploratoire,Intermédiaire,53.7,1,25.9,1,4.0,4.5,2.6,3.7,1
Poser des questions en langage naturel,Élevé,Management,Expert,44.1,1,35.4,1,3.4,3.4,3.8,3.7,1
Poser des questions en langage naturel,Moyen,Management,Intermédiaire,28.5,0,28.5,3,3.8,3.9,3.0,3.5,0
Analyser les données rapidement,Élevé,Management,Expert,62.8,1,50.3,2,4.5,3.6,4.1,4.9,1
Analyser les données rapidement,Faible,Opérationnel,Débutant,30.4,0,30.4,2,3.4,2.9,3.4,3.6,0
Poser des questions en langage naturel,Élevé,Management,Intermédiaire,37.3,0,37.3,1,3.9,3.7,3.7,2.9,0
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,31.9,0,31.9,2,3.8,4.0,3.9,3.0,0
Poser des questions en langage naturel,Faible,Opérationnel,Débutant,32.0,1,20.4,1,4.0,4.0,4.3,3.8,1
Résumer les insights,Faible,Exploratoire,Expert,21.6,0,21.6,1,3.1,3.7,4.1,3.1,0
Analyser les données rapidement,Moyen,Opérationnel,Débutant,45.6,1,19.2,3,5.0,4.6,4.1,4.8,1
Résumer les insights,Moyen,Management,Intermédiaire,35.5,1,25.4,1,4.2,3.0,4.3,4.4,1
Générer du DAX,Faible,Management,Intermédiaire,35.3,1,15.8,4,2.6,3.9,3.7,2.5,0
Analyser les données rapidement,Moyen,Management,Débutant,47.8,1,21.3,1,3.8,4.3,4.8,4.4,1
Générer du DAX,Moyen,Opérationnel,Débutant,47.9,1,9.3,2,3.5,3.6,2.6,3.6,0
Résumer les insights,Faible,Exploratoire,Intermédiaire,17.0,1,14.0,1,3.9,3.9,4.1,4.2,1
Résumer les insights,Faible,Opérationnel,Débutant,16.8,1,8.6,1,3.9,4.0,3.8,4.0,1
Analyser les données rapidement,Moyen,Opérationnel,Débutant,44.3,0,44.3,1,3.2,4.3,2.7,3.3,0
Analyser les données rapidement,Élevé,Opérationnel,Débutant,60.2,1,22.9,1,3.8,4.3,4.0,5.0,1
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,34.4,0,34.4,1,2.9,2.4,3.7,4.3,0
Générer du DAX,Moyen,Exploratoire,Débutant,78.4,1,15.9,3,3.6,3.3,2.3,3.2,0
Poser des questions en langage naturel,Élevé,Opérationnel,Expert,58.7,1,49.0,1,3.8,4.3,4.1,3.4,1
Générer du DAX,Moyen,Management,Débutant,28.5,1,7.4,4,2.7,3.0,2.6,2.9,0
Poser des questions en langage naturel,Moyen,Opérationnel,Intermédiaire,33.2,1,22.1,1,4.0,4.5,4.9,3.9,1
Analyser les données rapidement,Moyen,Management,Intermédiaire,50.5,0,50.5,1,3.6,2.5,3.9,3.6,0
Poser des questions en langage naturel,Moyen,Opérationnel,Débutant,15.4,1,13.0,1,3.8,4.2,3.4,3.6,1
Poser des questions en langage naturel,Élevé,Opérationnel,Intermédiaire,36.6,0,36.6,1,3.9,3.9,4.5,3.4,0
Créer des rapports automatiquement,Faible,Exploratoire,Intermédiaire,32.3,1,22.6,1,4.3,4.2,4.3,3.3,1
Générer du DAX,Faible,Exploratoire,Expert,52.0,0,52.0,1,3.9,4.3,3.0,3.4,0
Poser des questions en langage naturel,Faible,Opérationnel,Expert,27.6,0,27.6,1,3.0,3.7,3.4,3.7,0
Poser des questions en langage naturel,Faible,Management,Intermédiaire,28.6,1,21.8,1,4.9,4.6,3.8,4.6,1
Analyser les données rapidement,Faible,Opérationnel,Débutant,24.0,1,9.2,3,4.0,3.2,4.4,3.2,1
Poser des questions en langage naturel,Faible,Opérationnel,Intermédiaire,22.4,1,17.3,2,4.1,4.2,4.7,4.4,1
Poser des questions en langage naturel,Faible,Opérationnel,Expert,25.6,1,22.2,1,3.5,4.1,4.0,3.7,1
Analyser les données rapidement,Moyen,Opérationnel,Expert,28.0,1,16.8,1,4.6,3.8,3.3,3.7,1
Créer des rapports automatiquement,Moyen,Management,Expert,30.6,1,24.0,1,4.6,3.2,3.7,4.1,1
Générer du DAX,Faible,Management,Intermédiaire,53.4,0,53.4,1,3.5,4.5,3.7,3.4,0
Créer des rapports automatiquement,Moyen,Exploratoire,Intermédiaire,29.3,0,29.3,2,2.5,4.2,3.2,3.7,0
Poser des questions en langage naturel,Faible,Opérationnel,Intermédiaire,30.7,1,24.0,3,3.9,3.8,3.7,3.8,1
